tract,design,n_lightfoot_l_2019r,n_preckwinkle_t_2019r,Y
17031051200,0.25,274.6976385116577,71.70236617326736,0.7389771293202274
17031051300,0.5,488.6221785545349,96.10840278863908,0.8033073261779654
17031051400,0.5,325.976354598999,74.87497478723526,0.7703055030499283
17031060100,0.5,646.3141145706177,183.078298330307,0.7167347978282417
17031060300,0.5,674.7818579673767,190.452665746212,0.7177566890729601
17031060400,0.25,656.4091601371765,165.9609852433205,0.7471683892884159
17031060500,0.75,228.66338539123532,67.59037637710571,0.7044110220730754
17031060800,0.25,1259.3526916503906,377.2154178619385,0.7004688040428174
17031060900,0.5,1694.0059623718262,459.18590247631073,0.7289348959354361
17031061000,0.75,363.17518734931946,87.53616964817047,0.7589698506468341
17031061100,0.75,178.42085367441177,46.29850500822067,0.7405095645786579
17031061200,0.25,303.47161531448364,83.55944752693176,0.7246548167599127
17031061500,0.25,320.9011404514313,59.99659638106823,0.8130371356840074
17031061800,0.75,201.33789157867432,78.10521817207336,0.6120689575138758
17031061901,0.75,705.885027050972,178.09167569875717,0.7477044152037281
17031061902,0.75,974.2084336280824,240.29097390174863,0.7533474710264281
17031062000,0.25,534.0000038146973,123.00000137090684,0.7696629204265157
17031062100,0.75,683.6130769252777,148.94920736551285,0.7821147482499172
17031062200,0.5,495.6461568176746,101.7684244029224,0.7946752476477724
17031062300,0.75,300.6186742782593,48.00758728384972,0.8403040416597246
17031062400,0.5,331.7477111816406,62.21908318996429,0.8124506029948231
17031062500,0.5,352.52663946151733,69.64344236254692,0.8024448805658292
17031062600,0.5,436.5266284346581,93.94355861842632,0.7847930630135926
17031062700,0.5,466.3162781000137,86.49790614843369,0.8145080705720465
17031062800,0.5,599.5973482131958,111.0235920548439,0.8148364191641357
17031062900,0.25,711.6278747916222,165.29414038732648,0.767723909865493
17031063000,0.5,468.0271516442299,122.09677951037884,0.7391245805260663
17031063100,0.5,433.87936878204346,120.46454048156738,0.7223547622931986
17031063200,0.5,1485.7747208327055,360.3141346685589,0.7574907355627776
17031063301,0.75,369.96704864501953,131.66955757141113,0.6441046356597367
17031063302,0.75,860.5103855133057,227.8491027355194,0.7352163244379619
17031063400,0.75,285.7841339111328,86.95045328140259,0.6957477936530913
17031070101,0.5,1028.5017623901367,231.93375158309937,0.7744935788499689
17031070102,0.5,511.0483554601669,122.96732500195505,0.7593822117063058
17031070103,0.5,216.9999885559082,55.99999904632568,0.7419354746560378
17031070200,0.5,603.816262960434,138.24956965446472,0.7710403343946969
17031070300,0.5,482.43008774518967,85.85830156505108,0.8220295463611303
17031070400,0.25,616.0584557652473,124.36437746323644,0.7981289335461598
17031070500,0.25,644.0215709209442,119.7453291118145,0.8140662758538042
17031070600,0.25,549.7637710571289,84.49122400581837,0.8463135832989649
17031070700,0.5,482.6056171059609,101.01753560453652,0.7906830504578294
17031071000,0.75,630.0839651674032,112.96091571822762,0.8207208531513484
17031071100,0.25,506.2508865594864,106.07623770833015,0.7904670578865923
17031071200,0.75,442.3130259513855,92.70241749286652,0.7904144529918153
17031071300,0.25,730.4065062999725,138.16552138328552,0.8108374991301871
17031071400,0.0,953.8750219345092,225.07418847084045,0.7640422662348595
17031071500,0.75,1127.8331410607789,204.5053132400208,0.8186741408860586
17031071600,0.5,480.8727827072144,66.88390004634857,0.8609114459133952
17031071700,0.5,343.6243624687195,55.543571293354034,0.8383596235892319
17031071800,0.25,526.2410364151001,94.76304137706757,0.8199246451348232
17031080100,0.75,1529.0000371932983,302.00000336766243,0.8024852871017405
17031080201,0.5,1013.5416192263364,204.151365570724,0.7985762383131753
17031080202,0.5,781.2105575799942,160.7019630074501,0.7942911018698123
17031080300,0.5,562.1279502660036,122.97008084133267,0.7812418315382784
17031080400,0.5,444.0422154963017,114.14451868832111,0.742942191744668
