latitude,longitude,line_number,WARD,PRECINCT
41.9919447,-87.6954544,1614,40.0,10.0
41.7622923,-87.5680073,1616,7.0,4.0
41.7218251,-87.5351201,1635,10.0,22.0
41.9452918,-87.7063431,1638,33.0,12.0
41.7861601,-87.6470329,1647,16.0,25.0
41.9085054,-87.6814074,1649,2.0,15.0
41.7998848,-87.605794,1652,5.0,4.0
41.940613,-87.7308608,1659,30.0,23.0
41.9662108,-87.7632265,1660,45.0,16.0
41.7811836,-87.7658692,1665,13.0,17.0
41.9972772,-87.8191067,1670,41.0,7.0
41.7327442,-87.6650638,1671,21.0,16.0
41.9740342,-87.7596822,1675,45.0,33.0
41.7785855,-87.7877659,1685,13.0,31.0
41.8236563,-87.7121989,1686,12.0,11.0
41.789903,-87.7972726,1690,23.0,1.0
41.6823482,-87.6817532,1691,19.0,47.0
41.7827313,-87.7408626,1699,13.0,25.0
41.9939265,-87.8172498,1701,41.0,8.0
41.7824496,-87.6950615,1705,16.0,13.0
41.8112145,-87.6939438,1711,15.0,6.0
41.8956349,-87.7547549,1720,37.0,36.0
41.9488177,-87.8050343,1725,38.0,3.0
41.8004212,-87.6031983,1726,5.0,4.0
41.7815546,-87.7639583,1751,13.0,26.0
41.7160581,-87.6774394,1753,19.0,2.0
41.959428,-87.6827754,1761,47.0,8.0
41.9206341,-87.6895938,1776,1.0,9.0
41.7017488,-87.6647971,1777,19.0,37.0
41.930122,-87.6662533,1779,32.0,18.0
41.9500671,-87.7014797,1780,33.0,22.0
41.7662977,-87.7147955,1785,13.0,47.0
41.693344,-87.5344293,1791,10.0,10.0
41.8707567,-87.7122872,1792,24.0,26.0
41.9694741,-87.731418,1795,39.0,8.0
41.7940915,-87.7090284,1796,14.0,15.0
41.7483704,-87.645545,1800,21.0,4.0
41.7326809,-87.551728,1803,10.0,34.0
41.8191632,-87.6109638,1807,4.0,18.0
41.9401815,-87.6632908,1816,44.0,9.0
41.9496326,-87.8062962,1821,38.0,3.0
41.7071133,-87.6510835,1824,34.0,25.0
41.8959362,-87.6993922,1828,26.0,21.0
41.6795403,-87.6816649,1838,19.0,47.0
41.7547164,-87.6517806,1840,17.0,22.0
41.6825756,-87.6538945,1852,34.0,1.0
41.9757701,-87.7569066,1856,45.0,35.0
41.9842779,-87.6556341,1865,48.0,43.0
41.9757394,-87.7530102,1866,45.0,35.0
41.818338,-87.6960711,1868,12.0,13.0
41.9711682,-87.6898237,1880,40.0,12.0
41.9106848,-87.7296753,1886,26.0,22.0
41.9542925,-87.7482124,1902,45.0,11.0
41.9844517,-87.8172171,1905,41.0,41.0
41.9778401,-87.8102089,1907,41.0,36.0
41.9082961,-87.6948552,1909,1.0,24.0
41.9501098,-87.7982507,1923,38.0,38.0
41.7374074,-87.6566853,1928,21.0,48.0
41.6981963,-87.62244,1932,9.0,34.0
41.762228,-87.6290531,1933,6.0,47.0
41.9792834,-87.6651866,1937,48.0,10.0
41.9356474,-87.6817295,1938,32.0,38.0
41.7462561,-87.7128847,1939,18.0,17.0
41.7624005,-87.6840711,1943,18.0,33.0
41.9387006,-87.7368082,1944,31.0,36.0
41.7854515,-87.7728392,1945,13.0,32.0
41.9101267,-87.6833081,1947,1.0,38.0
41.7823402,-87.6092891,1962,20.0,1.0
41.9350662,-87.7903513,1963,36.0,28.0
41.6919281,-87.6567622,1970,34.0,13.0
41.7647324,-87.5961901,1972,5.0,2.0
41.7525675,-87.5595232,1986,7.0,17.0
41.7332543,-87.6524077,1988,21.0,50.0
41.8234438,-87.6717943,1995,12.0,19.0
41.7876937,-87.6446104,2000,20.0,36.0
