WARD,PRECINCT,house,suburb,apartment,retail,garage,urban,office,building,roof,porch,church,n_lightfoot_l_2019r,n_preckwinkle_t_2019r,Y
2.0,12.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,252,56,0.7777777777777778
2.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,61,0.7626459143968871
2.0,14.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,270,81,0.7
2.0,15.0,0.5,0.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,213,66,0.6901408450704225
2.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,177,57,0.6779661016949152
2.0,17.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,281,99,0.6476868327402135
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,49,0.7975206611570248
2.0,20.0,0.2,0.0,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,192,35,0.8177083333333334
2.0,21.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,230,75,0.6739130434782609
2.0,22.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,296,51,0.8277027027027027
2.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239,49,0.7949790794979079
2.0,25.0,0.5,0.0,0.375,0.5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,222,64,0.7117117117117117
2.0,26.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,36,0.8293838862559242
2.0,27.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,35,0.8491379310344828
2.0,28.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,217,50,0.7695852534562212
2.0,29.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,217,31,0.8571428571428571
2.0,31.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359,68,0.8105849582172702
2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237,31,0.869198312236287
2.0,36.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,235,55,0.7659574468085106
2.0,38.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,253,46,0.8181818181818182
2.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237,51,0.7848101265822784
2.0,41.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,188,34,0.8191489361702128
2.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,281,66,0.7651245551601423
2.0,44.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,176,27,0.8465909090909091
2.0,45.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,237,80,0.6624472573839663
2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,27,0.782258064516129
